"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6324
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6174
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1422
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.3666
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2387
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5054
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7496
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.3676
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5846
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5877
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.666
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4155
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5725
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7155
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4928
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3104
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8302
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9722
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",6.7253
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4377
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6235
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.2549
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4218
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.849
